tract,Name,City,State,Household_Income_rP_gP_p25
24510000000,Evergreen, Baltimore, MD,50567
24510000000,Mount Washington, Baltimore, MD,46323
24510000000,Fells Point, Baltimore, MD,44668
24510000000,Riverside, Baltimore, MD,43352
24510000000,Homeland, Baltimore, MD,40094
24510000000,North Harford Road, Baltimore, MD,38676
24510000000,Cheswolde, Baltimore, MD,36163
24510000000,Canton, Baltimore, MD,34132
24510000000,Woodring, Baltimore, MD,33519
24510000000,Cross Country, Baltimore, MD,32568
24510000000,Waltherson, Baltimore, MD,32441
24005000000,Windsor Mill, Baltimore, MD,32108
24510000000,North Harford Road, Baltimore, MD,32037
24510000000,Violetville, Baltimore, MD,31884
24510000000,Lake Walker, Baltimore, MD,31797
24005000000,Windsor Mill, Baltimore, MD,30286
24510000000,Glen, Baltimore, MD,30086
24510000000,Canton, Baltimore, MD,30026
24510000000,Joseph Lee, Baltimore, MD,30021
24510000000,Fallstaff, Baltimore, MD,29975
24510000000,Fifteenth Street, Baltimore, MD,29888
24510000000,Canton, Baltimore, MD,29555
24510000000,Roland Park, Baltimore, MD,29553
24510000000,Hampden, Baltimore, MD,29509
24510000000,Glenham-Belford, Baltimore, MD,29414
24510000000,Radnor - Winston, Baltimore, MD,29319
24510000000,Cold Springs, Baltimore, MD,29050
24510000000,Locust Point, Baltimore, MD,29029
24510000000,Tuscany - Canterbury, Baltimore, MD,28995
24510000000,Woodberry, Baltimore, MD,28168
24510000000,Upper Fells Point, Baltimore, MD,27952
24510000000,Lauraville, Baltimore, MD,27949
24510000000,South Baltimore, Baltimore, MD,27938
24510000000,Upper Fells Point, Baltimore, MD,27755
24510000000,Morrell Park, Baltimore, MD,27738
24510000000,Glenham-Belford, Baltimore, MD,27653
24510000000,Harford - Echodale - Perring Parkway, Baltimore, MD,27517
24005000000,Gwynn Oak, Baltimore, MD,27473
24510000000,Canton, Baltimore, MD,27417
24005000000,Gwynn Oak, Baltimore, MD,27220
24510000000,Bolton Hill, Baltimore, MD,27143
24510000000,Baltimore Highlands, Baltimore, MD,27086
24510000000,Ednor Gardens - Lakeside, Baltimore, MD,27054
24510000000,Ramblewood, Baltimore, MD,26930
24510000000,Hampden, Baltimore, MD,26678
24510000000,Westgate, Baltimore, MD,26620
24510000000,Loch Raven, Baltimore, MD,26619
24510000000,Downtown, Baltimore, MD,26562
24510000000,Harford - Echodale - Perring Parkway, Baltimore, MD,26484
24005000000,Windsor Mill, Baltimore, MD,26326
24510000000,Lauraville, Baltimore, MD,26073
24510000000,Morrell Park, Baltimore, MD,25585
24510000000,Cedmont, Baltimore, MD,25563
24510000000,Irvington, Baltimore, MD,25447
24510000000,Riverside Park, Baltimore, MD,25440
24005000000,Gwynn Oak, Baltimore, MD,25406
24510000000,Medford - Broening, Baltimore, MD,25394
24510000000,Brooklyn, Baltimore, MD,25334
24005000000,Windsor Mill, Baltimore, MD,25324
24510000000,East Arlington, Baltimore, MD,25271
24510000000,Upper Fells Point, Baltimore, MD,25227
24510000000,Hampden, Baltimore, MD,25111
24510000000,Hillen, Baltimore, MD,25023
24510000000,Glen, Baltimore, MD,24846
24510000000,Arcadia, Baltimore, MD,24832
24510000000,Belair - Edison, Baltimore, MD,24740
24510000000,Mid-Govans, Baltimore, MD,24709
24004000000,Brooklyn, Baltimore, MD,24635
24510000000,Armistead Gardens, Baltimore, MD,24622
24510000000,Idlewood, Baltimore, MD,24595
24510000000,New Northwood, Baltimore, MD,24545
24510000000,Downtown, Baltimore, MD,24487
24510000000,Gwynn Oak, Baltimore, MD,24456
24510000000,Mid-Charles, Baltimore, MD,24403
24510000000,Riverside, Baltimore, MD,24386
24510000000,Walbrook, Baltimore, MD,24370
24005000000,Gwynn Oak, Baltimore, MD,24347
24510000000,Patterson Park, Baltimore, MD,24334
24510000000,Beechfield, Baltimore, MD,24159
24510000000,Gwynn Oak, Baltimore, MD,23994
24510000000,Hanlon Longwood, Baltimore, MD,23845
24510000000,Irvington, Baltimore, MD,23733
24510000000,Burleith-Leighton, Baltimore, MD,23720
24510000000,Perring Loch, Baltimore, MD,23692
24510000000,Remington, Baltimore, MD,23689
24510000000,Waltherson, Baltimore, MD,23685
24510000000,Rognel Heights, Baltimore, MD,23620
24510000000,Pigtown, Baltimore, MD,23603
24510000000,Medfield, Baltimore, MD,23379
24510000000,Patterson Park, Baltimore, MD,23290
24510000000,Belair - Edison, Baltimore, MD,22993
24510000000,Frankford, Baltimore, MD,22968
24510000000,West Forest Park, Baltimore, MD,22901
24510000000,Parkside, Baltimore, MD,22837
