"tract","Name","Household_Income_rP_gP_p75"
36061000800,"Lower Manhattan, New York, NY",92534
36061001800,"Lower Manhattan, New York, NY",90401
36059406400,"Garden City, NY",84403
36061001600,"Chinatown, New York, NY",83851
36059302101,"Roslyn, NY",82792
36047058200,"Kings County, NY",82583
36047061200,"Kings County, NY",82033
36059415202,"Merrick, NY",82023
36059415102,"Merrick, NY",81756
36059518204,"Woodbury, NY",81708
36059521200,"Massapequa, NY",81642
36059412700,"Rockville Centre, NY",81162
36081097300,"Queens County, NY",81161
36047041200,"Kings County, NY",81090
36047037000,"Kings County, NY",81038
36059406501,"Garden City, NY",80752
36059518600,"Jericho, NY",79884
36059303301,"Williston Park, NY",79560
36047068600,"Kings County, NY",79126
36059415500,"North Wantagh, Seaford, NY",78780
36059411902,"Lynbrook, NY",78718
36059302400,"Albertson, NY",78507
36059519704,"Plainview, NY",78432
36081142900,"Queens County, NY",78399
36081103300,"Queens County, NY",78349
36081118900,"Queens County, NY",78177
36059412600,"Rockville Centre, NY",78146
36081115700,"Queens County, NY",78124
36059405800,"Garden City, NY",78078
36059301700,"Manhasset, NY",77996
36047044600,"Kings County, NY",77754
36047075800,"Kings County, NY",77267
36059518501,"Jericho, NY",77264
36059302501,"Roslyn Heights, NY",77222
36059415201,"Merrick, NY",76818
36081114100,"Queens County, NY",76740
36047065400,"Kings County, NY",76595
36081048900,"Queens County, NY",76362
36059304001,"Westbury, NY",76314
36059519703,"Plainview, NY",76295
36047061003,"Kings County, NY",76290
36103112204,"Melville, NY",76253
36047062000,"Kings County, NY",76242
36103112212,"Dix Hills, NY",76217
36081099701,"Queens County, NY",76216
36059519601,"Plainview, NY",76182
36047042600,"Kings County, NY",76160
36081145900,"Queens County, NY",76117
36081099703,"Queens County, NY",76108
36059302700,"North New Hyde Park, NY",75997
36059518800,"Syosset, NY",75975
36081091601,"Queens County, NY",75947
36059300600,"Great Neck Plaza, NY",75946
36081045600,"Queens County, NY",75803
36081119300,"Queens County, NY",75783
36059519801,"Plainview, NY",75752
36059302800,"North New Hyde Park, NY",75748
36059412500,"Rockville Centre, NY",75655
36059519602,"Plainview, NY",75624
36005045101,"Bronx County, NY",75624
36059519702,"Plainview, NY",75613
36059303101,"New Hyde Park, NY",75486
36005027401,"Bronx County, NY",75482
36081074700,"Queens County, NY",75334
36081150702,"Queens County, NY",75231
36059517500,"Glen Head, NY",75220
36059405600,"Franklin Square, NY",75205
36103110401,"Huntington, NY",75180
36119008404,"Harrison, NY",75133
36047056200,"Kings County, NY",75068
36059404600,"Floral Park, NY",75064
36119008401,"Harrison, NY",75026
36059300900,"Manhasset, NY",75000
36081009500,"Queens County, NY",74974
36059413002,"Oceanside, NY",74925
36059519802,"Plainview, NY",74914
36047049600,"Kings County, NY",74880
36047056400,"Kings County, NY",74859
36059303000,"New Hyde Park, NY",74749
36081136700,"Queens County, NY",74625
36081092800,"Queens County, NY",74402
36047064400,"Kings County, NY",74401
36059302300,"Albertson, NY",74346
36103135103,"Commack, NY",74248
36005029301,"Bronx County, NY",74215
36059519500,"Hicksville, Hicksville, NY",74107
36081066900,"Queens County, NY",74053
36059520100,"Old Bethpage, NY",74012
36047029800,"Kings County, NY",73977
36081029500,"Queens County, NY",73854
36081157901,"Queens County, NY",73853
36081157101,"Bellerose Manor, Bellerose, NY",73828
36059303500,"Mineola, NY",73807
36081119900,"Queens County, NY",73757
36059415802,"Wantagh, NY",73752
36081133900,"Queens County, NY",73698
36081101700,"Queens County, NY",73661
36103134704,"Kings Park, NY",73622
36103111300,"Huntington, NY",73608
36005025000,"Bronx County, NY",73447
36081140902,"Queens County, NY",73398
36059518400,"Syosset, NY",73344
36047053800,"Kings County, NY",73306
36081066501,"Queens County, NY",73251
36059517701,"Glen Head, NY",73248
36119005002,"Eastchester, NY",73205
36081049900,"Queens County, NY",73162
36059408000,"East Meadow, NY",73160
36059407600,"Westbury, NY",73103
